var,n,rho,p,p_fdr
Vitamin C(mg),263,0.328338531871755,5.001185972894098e-08,3.000711583736459e-07
Potassium (mg),263,0.1319377812584532,0.032448784372175785,0.06672008527109391
Magnesium (mg),263,0.1312580977176045,0.033360042635546955,0.06672008527109391
Fat(g),263,0.10227472513666909,0.09791241929785784,0.14686862894678676
Total saturates (g),263,0.08637168982256344,0.16251802402566196,0.19502162883079435
Fibre (g),263,-0.04737656645332839,0.44421866234222784,0.4442186623422278
