var,n,rho,p,p_fdr
Potassium (mg),61,0.29192062108978045,0.022443599874520628,0.12717342897942557
Fibre (g),61,0.24794743332960792,0.05402054215053981,0.12717342897942557
Vitamin C(mg),61,0.22951729991479117,0.07518414801441808,0.12717342897942557
Magnesium (mg),61,0.2225101473252267,0.08478228598628372,0.12717342897942557
Total saturates (g),61,0.18194798856148367,0.16049587844181615,0.19259505413017938
Fat(g),61,0.09326123465431663,0.4746801406591752,0.4746801406591752
