var,n,rho,p,p_fdr
Potassium (mg),61,0.197839681792911,0.12642284190730965,0.5191390256484126
Total saturates (g),61,0.17539035142106105,0.17637209363122794,0.5191390256484126
Fibre (g),61,0.14556367926623565,0.26299369813190626,0.5191390256484126
Vitamin C(mg),61,0.12271771761573108,0.3460926837656084,0.5191390256484126
Magnesium (mg),61,0.07229266105611049,0.5798059647496383,0.6693255873512228
Fat(g),61,0.055792799864079416,0.6693255873512227,0.6693255873512228
