var,n,rho,p,p_fdr
Vitamin C(mg),263,0.28577271511363667,2.4651665944881106e-06,1.4790999566928664e-05
Potassium (mg),263,0.22088670885202658,0.00030642521454469384,0.0009192756436340816
Fat(g),263,0.21003156110605908,0.0006075231947116814,0.0012150463894233627
Magnesium (mg),263,0.20195748214821121,0.0009891226735819457,0.0014836840103729185
Total saturates (g),263,0.18328840893951143,0.0028488240762185495,0.0034185888914622597
Fibre (g),263,0.07789918178042118,0.2079547683346944,0.2079547683346944
